Store Num,Address,City,State,ZIP,Lat,Lon,"County ",Region,Type
126,14200 E Ellsworth Ave,Aurora,CO,80012,39.7164428746951,-104.822288162203,Arapahoe County,South,FS
291,16910 E Quincy Ave,Aurora,CO,80015,39.6382728674084,-104.791136206897,Arapahoe County,South,FS
1062,15700 E Briarwood Cir,Aurora,CO,80016,39.5937396514854,-104.803614728711,Arapahoe County,South,FS
1150,1400 S Havana St,Aurora,CO,80012,39.6918874609429,-104.865721818236,Arapahoe County,South,FS
5093,6767 S Clinton St,Englewood,CO,80112,39.5934130326145,-104.880795835819,Arapahoe County,South,FS
5697,4301 E Virginia Ave,Glendale,CO,80246,39.7075177905203,-104.937415958273,Arapahoe County,South,FS
9512,3650 Riverpoint Pkwy,Sheridan,CO,80110,39.6509989218304,-105.009629985681,Arapahoe County,South,FS
4576,7930 Northfield Blvd,Denver,CO,80238,39.7853528674084,-104.895013870968,Denver County,South,FS
868,7400 S Gartrell Rd,Aurora,CO,80016,39.5655696975565,-104.718046126205,Douglas County,South,FS
2759,5010 Founders Pkwy,Castle Rock,CO,80108,39.4081162882051,-104.858935933184,Douglas County,South,FS
6425,1950 E County Line Rd,Highlands Ranch,CO,80126,39.5659497521844,-104.963419627962,Douglas County,South,FS
6485,1265 Sgt Jon Stiles Dr,Highlands Ranch,CO,80129,39.547923345389,-105.004378379427,Douglas County,South,FS
7819,10001 Commons St,Lone Tree,CO,80124,39.5360029559179,-104.882161280587,Douglas County,South,FS
8718,11150 S Twenty Mile Rd,Parker,CO,80134,39.512461936532,-104.773681099946,Douglas County,South,FS
2942,335 N Academy Blvd,Colorado Springs,CO,80909,38.8379190933287,-104.757131265074,El Paso County,South,FS
3229,3810 Bloomington St,Colorado Springs,CO,80922,38.8866844533612,-104.717253631385,El Paso County,South,FS
3417,9670 Prominent Pt,Colorado Springs,CO,80924,38.96693,-104.72146,El Paso County,South,FS
3994,5240 N Academy Blvd,Colorado Springs,CO,80918,38.905782017995,-104.779301921937,El Paso County,South,FS
4151,1630 E Cheyenne Mountain Blvd,Colorado Springs,CO,80906,38.7934684106202,-104.800192265511,El Paso County,South,FS
9054,3300 Dillon Dr,Pueblo,CO,81008,38.2957684868545,-104.605575269211,Pueblo County,South,FS
23063,1875 S Pueblo Blvd,Pueblo,CO,81005,38.2358328056289,-104.662559952037,Pueblo County,South,Mall
26732,1017 N Market Plz,Pueblo West,CO,81007,38.3255213998272,-104.699818044036,Pueblo County,South,Mall
21425,1565 W US Highway 50 # B-2,Pueblo,CO,81008,38.46206,-104.60153,Pueblo County,South,Mall
23172,6925 Mesa Ridge Pkwy,Fountain,CO,80817,38.7182778108613,-104.698740949372,El Paso County,South,Mall
20422,817 Cheyenne Meadows Rd,Colorado Springs,CO,80906,38.7771233364811,-104.813031051728,El Paso County,South,Mall
23117,2130 Southgate Rd,Colorado Springs,CO,80906,38.8020497946028,-104.817825477472,El Paso County,South,Mall
25554,1425 S Murray Blvd,Colorado Springs,CO,80916,38.8133787042396,-104.74723468473,El Paso County,South,Mall
22693,7 S Tejon St,Colorado Springs,CO,80903,38.8337424578818,-104.823357592525,El Paso County,South,Mall
26194,134 N Tejon St,Colorado Springs,CO,80903,38.8358167119012,-104.823577998705,El Paso County,South,Mall
22505,747 Citadel Dr E,Colorado Springs,CO,80909,38.8433140284715,-104.758651427868,El Paso County,South,Mall
23327,750 Citadel Dr E Ste 1100,Colorado Springs,CO,80909,38.8434204978006,-104.759001083675,El Paso County,South,Mall
20312,1121 N Circle Dr,Colorado Springs,CO,80909,38.8487293439316,-104.775578077631,El Paso County,South,Mall
22283,3104 W Colorado Ave,Colorado Springs,CO,80904,38.8534241012132,-104.872282321481,El Paso County,South,Mall
26494,3275 W Colorado Ave,Colorado Springs,CO,80904,38.8554635953364,-104.877338120284,El Paso County,South,Mall
22154,2210 N Wahsatch Ave,Colorado Springs,CO,80907,38.8646380602691,-104.816710619283,El Paso County,South,Mall
29345,2890 N Powers Blvd,Colorado Springs,CO,80922,38.8759244401278,-104.720266148192,El Paso County,South,Mall
20357,2856 N Powers Blvd,Colorado Springs,CO,80922,38.87616999778,-104.720266148801,El Paso County,South,Mall
23734,3250 Centennial Blvd,Colorado Springs,CO,80907,38.8772175845985,-104.847233609798,El Paso County,South,Mall
24914,6082 Stetson Blvd,Colorado Springs,CO,80922,38.89003,-104.70165,El Paso County,South,Mall
27255,4272 N Academy Blvd Ste 5,Colorado Springs,CO,80918,38.8936980441863,-104.758041310465,El Paso County,South,Mall
21177,4465 Centennial Blvd,Colorado Springs,CO,80907,38.8944505550814,-104.851300808888,El Paso County,South,Mall
21395,840 Village Center Dr,Colorado Springs,CO,80919,38.9222992817423,-104.843835979348,El Paso County,South,Mall
25787,6815 N Academy Blvd,Colorado Springs,CO,80918,38.9304893142624,-104.793995976473,El Paso County,South,Mall
22568,6896 Centennial Blvd,Colorado Springs,CO,80919,38.9310883560554,-104.865659491648,El Paso County,South,Mall
21392,7055 Austin Bluffs Pkwy,Colorado Springs,CO,80923,38.933777984344,-104.740659061095,El Paso County,South,Mall
23817,3560 E Woodmen Rd Ste 100,Colorado Springs,CO,80920,38.9379258710473,-104.759840025192,El Paso County,South,Mall
25062,7655 McLaughlin Rd,Falcon,CO,80831,38.9428239056253,-104.602910735913,El Paso County,South,Mall
27162,7650 N Academy Blvd # 3,Colorado Springs,CO,80920,38.943439521123,-104.800444261379,El Paso County,South,Mall
29531,8750 N Union Blvd,Colorado Springs,CO,80920,38.9590335071034,-104.764429712128,El Paso County,South,Mall
25029,1605 Briargate Pkwy # D400,Colorado Springs,CO,80920,38.965254618836,-104.79712461202,El Paso County,South,Mall
22503,541 Highway 105,Monument,CO,80132,39.0964739325245,-104.8657670215,El Paso County,South,Mall
23977,624 W Highway 105,Monument,CO,80132,39.0977548409144,-104.86683688058,El Paso County,South,Mall
29803,880 S Perry St,Castle Rock,CO,80104,39.3623953487674,-104.86179831152,Douglas County,South,Mall
25650,750 N Ridge Rd,Castle Rock,CO,80104,39.3733953564149,-104.826589617201,Douglas County,South,Mall
29390,62 Founders Pkwy Lot 2,Castle Rock,CO,80104,39.41135710944,-104.863150999536,Douglas County,South,Mall
23261,506 E Castle Pines Pkwy,Castle Rock,CO,80108,39.4717138500661,-104.896253786496,Douglas County,South,Mall
22111,560 E Castle Pines Pkwy,Castle Rock,CO,80108,39.4720953659847,-104.897703757014,Douglas County,South,Mall
27408,8335 N Rampart Range Rd,Littleton,CO,80125,39.4819631318458,-105.073465888554,Douglas County,South,Mall
26807,11153 S Parker Rd Unit C,Parker,CO,80134,39.5115941028675,-104.764174550632,Douglas County,South,Mall
29847,11051 S Parker Rd,Parker,CO,80134,39.5161074213727,-104.764845881056,Douglas County,South,Mall
26452,4000 Red Cedar Dr,Highlands Ranch,CO,80126,39.524756895952,-104.941429560243,Douglas County,South,Mall
28265,2205 W Wildcat Reserve Pkwy,Highlands Ranch,CO,80129,39.5349966442378,-105.014376504164,Douglas County,South,Mall
22872,9229 E Lincoln Ave,Littleton,CO,80124,39.5364752667552,-104.882359232222,Douglas County,South,Mall
28074,9563 S University Blvd Unit A,Highlands Ranch,CO,80126,39.5431865004758,-104.942220759037,Douglas County,South,Mall
26862,9449 S University Blvd,Highlands Ranch,CO,80126,39.5455073593546,-104.945797387518,Douglas County,South,Mall
25788,9255 S Broadway,Highlands Ranch,CO,80129,39.5475585115842,-104.992302920143,Douglas County,South,Mall
20424,9245 S Broadway # 1300,Highlands Ranch,CO,80129,39.5478301573693,-104.992266507397,Douglas County,South,Mall
26247,9222 Park Meadows Dr,Lone Tree,CO,80124,39.555081677645,-104.882217698427,Douglas County,South,Mall
26859,8673 S Quebec St,Highlands Ranch,CO,80130,39.5592010699643,-104.904517282881,Douglas County,South,Mall
24862,8585 S Yosemite St,Lone Tree,CO,80124,39.5618955175527,-104.880263004486,Douglas County,South,Mall
25072,8405 Park Meadows Center Dr # 2084,Littleton,CO,80124,39.5634628523289,-104.872905120775,Douglas County,South,Mall
25060,8374 Willow St,Littleton,CO,80124,39.5644554776399,-104.887168577992,Douglas County,South,Mall
22350,8200 S Quebec St Ste A18,Centennial,CO,80112,39.5675072727273,-104.904092107784,Arapahoe County,South,Mall
24218,22675 E Aurora Pkwy,Aurora,CO,80016,39.5746002995339,-104.725530851325,Arapahoe County,South,Mall
29165,7521 S University Blvd,Centennial,CO,80122,39.57972,-104.960627923558,Arapahoe County,South,Mall
20096,7450 S University Blvd,Centennial,CO,80122,39.58222,-104.960082070024,Arapahoe County,South,Mall
28095,7301 S Santa Fe Dr Unit 310,Littleton,CO,80120,39.5844954311014,-105.023760130902,Arapahoe County,South,Mall
21696,7375 E Arapahoe Rd,Englewood,CO,80112,39.5952471325916,-104.903009411765,Arapahoe County,South,Mall
28993,8547 E Arapahoe Rd Ste 1,Greenwood Village,CO,80112,39.5952471325916,-104.891334351215,Arapahoe County,South,Mall
24881,8557 E Arapahoe Rd,Greenwood Village,CO,80112,39.5952471325916,-104.890877830888,Arapahoe County,South,Mall
29579,12023 E Arapahoe Rd Ste 140,Centennial,CO,80112,39.5952871325916,-104.8497,Arapahoe County,South,Mall
22936,6554 S Parker Rd Unit 111,Aurora,CO,80016,39.5982033743208,-104.803717857557,Arapahoe County,South,Mall
21137,6100 S Gun Club Rd,Aurora,CO,80016,39.6055967907588,-104.716558101273,Arapahoe County,South,Mall
26085,6000 S Holly St,Greenwood Village,CO,80111,39.6090214904836,-104.922592011681,Arapahoe County,South,Mall
26384,5910 S University Blvd Ste D3,Greenwood Village,CO,80121,39.6093133333333,-104.959812000416,Arapahoe County,South,Mall
21732,8745 E Orchard Rd Ste 510,Greenwood Village,CO,80111,39.6098071325916,-104.88751,Arapahoe County,South,Mall
27824,3615 W Bowles Ave,Littleton,CO,80123,39.6098538670615,-105.035038613833,Arapahoe County,South,Mall
29955,20153 E Smoky Hill Rd,Centennial,CO,80015,39.6112874949916,-104.753660180118,Arapahoe County,South,Mall
23803,50 W Littleton Blvd Ste 301,Littleton,CO,80120,39.6130328674084,-104.989825,Arapahoe County,South,Mall
20485,19751 E Smoky Hill Rd Unit A,Centennial,CO,80015,39.6137877458445,-104.758230721803,Arapahoe County,South,Mall
23121,8000 E Belleview Ave Ste B20,Greenwood Village,CO,80111,39.6238628674084,-104.896234642857,Arapahoe County,South,Mall
29638,4910 S Yosemite St,Greenwood Village,CO,80111,39.62625,-104.885011956855,Arapahoe County,South,Mall
27567,16746 E Smoky Hill Rd,Aurora,CO,80015,39.6264005662574,-104.793038816757,Arapahoe County,South,Mall
22450,15285 E Smoky Hill Rd,Aurora,CO,80015,39.6329034287326,-104.810513692399,Arapahoe County,South,Mall
26554,16921 E Quincy Ave,Aurora,CO,80015,39.6386971325916,-104.790068125,Arapahoe County,South,Mall
26707,201 E Jefferson Ave,Englewood,CO,80113,39.6513771325916,-104.98478,Arapahoe County,South,Mall
22837,3551 S Tower Rd Unit A,Aurora,CO,80013,39.6521085606846,-104.772728049674,Arapahoe County,South,Mall
29161,18730 E Hampden Ave,Aurora,CO,80013,39.6528128674084,-104.7696434375,Arapahoe County,South,Mall
26233,4950 E Hampden Ave,Denver,CO,80222,39.6528728674084,-104.929936470588,Denver County,South,Mall
20828,5074 E Hampden Ave,Denver,CO,80222,39.6528728674084,-104.928991071429,Denver County,South,Mall
26647,7777 E Hampden Cir Ste 131,Denver,CO,80237,39.6532571325916,-104.90034,Denver County,South,Mall
25196,18211 E Hampden Ave,Aurora,CO,80013,39.6532571325916,-104.77646,Arapahoe County,South,Mall
21119,3319 S Broadway,Englewood,CO,80113,39.6561513333333,-104.987858120141,Arapahoe County,South,Mall
20878,3100 S Sheridan Blvd,Denver,CO,80227,39.65618,-105.053011879785,Denver County,South,Mall
21645,3190 S Parker Rd,Aurora,CO,80014,39.6591093836066,-104.846323643934,Arapahoe County,South,Mall
23100,3128 S Parker Rd,Aurora,CO,80014,39.6597555596647,-104.851203097932,Arapahoe County,South,Mall
28538,2750 S Colorado Blvd,Denver,CO,80222,39.6662393939394,-104.940411853856,Denver County,South,Mall
29287,6460 E Yale Ave,Denver,CO,80222,39.6675228674084,-104.913602137871,Denver County,South,Mall
28173,2700 S Colorado Blvd,Denver,CO,80222,39.66763,-104.94041185027,Denver County,South,Mall
21722,"17200 E Iliff Ave, Unit A-1 Unit A1",Aurora,CO,80013,39.6730251520505,-104.786932906305,Arapahoe County,South,Mall
23474,2223 S Monaco Pkwy Unit H,Denver,CO,80222,39.6765015798455,-104.913122265497,Denver County,South,Mall
21984,2150 S Downing St,Denver,CO,80210,39.6775883301276,-104.973286045786,Denver County,South,Mall
28736,1605 E Evans Ave,Denver,CO,80210,39.6786271325916,-104.9686975,Denver County,South,Mall
22754,2000 S University Blvd Unit B,Denver,CO,80210,39.6802459566591,-104.959231985907,Denver County,South,Mall
20190,1955 S Sheridan Blvd,Denver,CO,80227,39.6813775321806,-105.053438185189,Denver County,South,Mall
27235,1677 S Havana St,Aurora,CO,80012,39.6859920804408,-104.866109281728,Arapahoe County,South,Mall
22543,1653 S Colorado Blvd,Denver,CO,80210,39.6869094066677,-104.940955454709,Denver County,South,Mall
21652,1442 S Parker Rd,Denver,CO,80231,39.6906855347166,-104.890955923746,Arapahoe County,South,Mall
21351,1285 S Santa Fe Dr,Denver,CO,80223,39.6932889614668,-104.992702149308,Denver County,South,Mall
22334,1233 S Colorado Blvd,Denver,CO,80246,39.6941742857143,-104.940898218218,Denver County,South,Mall
22421,1200 Airport Blvd,Aurora,CO,80011,39.69512,-104.790761779341,Arapahoe County,South,Mall
25645,1155 S Havana St,Aurora,CO,80012,39.6955170195609,-104.866128179587,Arapahoe County,South,Mall
26811,7150 Leetsdale Dr,Denver,CO,80224,39.6990590917851,-104.905387004339,Denver County,South,Mall
27206,960 S Colorado Blvd,Glendale,CO,80246,39.6990918350748,-104.940461609265,Arapahoe County,South,Mall
29397,5835 Leetsdale Drive,Denver,CO,80033,39.7068739851513,-104.920204215554,Denver County,South,Mall
21969,323 S Broadway,Denver,CO,80209,39.7107197852258,-104.9877601112,Denver County,South,Mall
24024,1209 E Alameda Ave,Denver,CO,80209,39.711246038991,-104.97329759127,Denver County,South,Mall
24003,14261 E Cedar Ave Unit D,Aurora,CO,80012,39.7130332101207,-104.823030332453,Arapahoe County,South,Mall
27793,3110 E 1st Ave,Denver,CO,80206,39.7177922743447,-104.951264489065,Denver County,South,Mall
29074,200 Fillmore St,Denver,CO,80206,39.719429120963,-104.9532217202,Denver County,South,Mall
26062,2701 E 3rd Ave,Denver,CO,80206,39.7211271279852,-104.955808538673,Denver County,South,Mall
25838,200 Quebec St Bldg 400,Denver,CO,80230,39.72143,-104.903371711364,Denver County,South,Mall
22286,560 Corona St,Denver,CO,80218,39.7248895121951,-104.973891702419,Denver County,South,Mall
25465,575 Lincoln St Ste A,Denver,CO,80203,39.7252629675341,-104.986428298546,Denver County,South,Mall
25122,300 E 6th Ave Ste 5,Denver,CO,80203,39.7254928674084,-104.98362,Denver County,South,Mall
24190,801 Colorado Blvd,Denver,CO,80206,39.7292424484059,-104.940958280415,Denver County,South,Mall
26102,1155 E 9th Ave,Denver,CO,80218,39.7306016172923,-104.973429279208,Denver County,South,Mall
20095,1355 Krameria St,Denver,CO,80220,39.7376352272727,-104.916318330549,Denver County,South,Mall
21928,6220 E 14th Ave,Denver,CO,80220,39.7382028674084,-104.915915510204,Denver County,South,Mall
23635,1050 W Colfax Ave,Denver,CO,80204,39.7399028674084,-105.001325454545,Denver County,South,Mall
24761,6160 E Colfax Ave Unit 1,Denver,CO,80220,39.7399528674084,-104.916797826087,Denver County,South,Mall
26587,2975 E Colfax Ave,Denver,CO,80206,39.7403221114927,-104.952698128247,Denver County,South,Mall
20489,303 16th St Ste 100,Denver,CO,80202,39.7426332757683,-104.988590931968,Denver County,South,Mall
23917,1670 Broadway,Denver,CO,80202,39.742934,-104.987211655739,Denver County,South,Mall
28006,1700 Broadway,Denver,CO,80290,39.74332,-104.98721165474,Denver County,South,Mall
23595,1600 E 18th Ave,Denver,CO,80218,39.7446828674084,-104.967813737374,Denver County,South,Mall
29235,1740 Welton St,Denver,CO,80202,39.7457017540847,-104.989506217102,Denver County,South,Mall
27037,633 17th St Ste 110,Denver,CO,80202,39.7457492208664,-104.990288216065,Denver County,South,Mall
27226,1701 California St,Denver,CO,80202,39.7462364305242,-104.991082467966,Denver County,South,Mall
24188,1667 Stout St Spc C,Denver,CO,80202,39.7466321767821,-104.992332488156,Denver County,South,Mall
22294,934 16th St,Denver,CO,80202,39.7466626910791,-104.994421814317,Denver County,South,Mall
23007,1406 Larimer St,Denver,CO,80202,39.7473091216078,-104.999627921055,Denver County,South,Mall
28706,757 E 20th Ave,Denver,CO,80205,39.7476271325916,-104.977465,Denver County,South,Mall
28910,1512 Lawrence Street Unit R-40 Unit R-40,Denver,CO,80202,39.7476641432062,-104.997446617476,Denver County,South,Mall
29714,1672 Lawrence St,Denver,CO,80202,39.7491353564608,-104.995570530415,Denver County,South,Mall
20297,999 18th St Ste 113,Denver,CO,80202,39.749190584407,-104.992284524107,Denver County,South,Mall
28704,1849 Curtis St,Denver,CO,80202,39.7496445692934,-104.991900578864,Denver County,South,Mall
25266,1490 16th St,Denver,CO,80202,39.7503874072323,-104.999192035075,Denver County,South,Mall
22480,1416 Platte St Ste A,Denver,CO,80202,39.7544976732202,-105.009878488936,Denver County,South,Mall
23262,7304 E 29th Ave,Denver,CO,80238,39.7579228674084,-104.903245,Denver County,South,Mall
22465,2990 N Speer Blvd Unit 1,Denver,CO,80211,39.7600276551187,-105.024410222228,Denver County,South,Mall
28763,3800 W 44th Ave,Denver,CO,80211,39.7765928674084,-105.03694,Denver County,South,Mall
21122,5141 Chambers Rd,Denver,CO,80239,39.7855216324152,-104.809983441958,Denver County,South,Mall
